Station, Shaft Number, Date-Time, WorkOrder, Part, Freq. 01 - Reading,Motor-Sanding, Freq. 02 - Reading,Motor-Polishing,Freq-Target,Formular -G,Formular -PO
Auto sanding - 1,4,12/18/2021 16:21,796255,SP400-IR-4,250.3,1450,250.3,1450,245,1,1
Auto sanding - 1,5,12/18/2021 16:21,796255,SP400-IR-4,250.1,1450,250.1,1450,245,1,1
Auto sanding - 1,1,12/20/2021 6:06,795797,SP400-IR-4,250.1,1450,250.1,1450,245,1,1
Auto sanding - 1,2,12/20/2021 6:07,795797,SP400-IR-4,247.5,1450,247.5,1450,245,1,1
Auto sanding - 1,3,12/20/2021 6:07,795797,SP400-IR-4,249.9,1450,249.9,1450,245,1,1
Auto sanding - 1,4,12/20/2021 6:08,795797,SP400-IR-4,249.7,1450,249.7,1450,245,1,1
Auto sanding - 1,5,12/20/2021 6:08,795797,SP400-IR-4,246,1450,246,1450,245,1,1
Auto sanding - 1,1,12/20/2021 6:33,794963,SP400-IR-4,249.6,1450,249.6,1450,245,1,1
Auto sanding - 1,2,12/20/2021 6:33,794963,SP400-IR-4,247.7,1450,247.7,1450,245,1,1
Auto sanding - 1,3,12/20/2021 6:34,794963,SP400-IR-4,249.8,1450,249.8,1450,245,1,1
Auto sanding - 1,4,12/20/2021 6:34,794963,SP400-IR-4,248.1,1450,248.1,1450,245,1,1
Auto sanding - 1,5,12/20/2021 6:34,794963,SP400-IR-4,247.8,1450,247.8,1450,245,1,1
Auto sanding - 1,3,12/20/2021 10:05,796251,SP400-IR-4,247,1450,247,1450,245,1,1
Auto sanding - 1,4,12/20/2021 10:08,796251,SP400-IR-4,249.8,1450,249.8,1450,245,1,1
Auto sanding - 1,5,12/20/2021 10:08,796251,SP400-IR-4,246.5,1450,246.5,1450,245,1,1
Auto sanding - 1,1,12/20/2021 10:08,796251,SP400-IR-4,249.3,1450,249.3,1450,245,1,1
Auto sanding - 1,2,12/20/2021 10:09,796251,SP400-IR-4,248.9,1450,248.9,1450,245,1,1
Auto sanding - 1,3,12/20/2021 10:09,796251,SP400-IR-4,249.1,1450,249.1,1450,245,1,1
Auto sanding - 1,4,12/20/2021 10:09,796251,SP400-IR-4,248.4,1450,248.4,1450,245,1,1
Auto sanding - 1,5,12/20/2021 10:11,796251,SP400-IR-4,249.6,1450,249.6,1450,245,1,1
Auto sanding - 1,1,12/20/2021 11:38,794945,SP400-IR-4,250,1450,250,1450,245,1,1
Auto sanding - 1,1,12/20/2021 13:09,794945,SP400-IR-4,249,1450,249,1450,245,1,1
Auto sanding - 1,2,12/20/2021 13:09,794945,SP400-IR-4,249.6,1450,249.6,1450,245,1,1
Auto sanding - 1,3,12/20/2021 13:09,794945,SP400-IR-4,249.2,1450,249.2,1450,245,1,1
Auto sanding - 1,4,12/20/2021 13:09,794945,SP400-IR-4,249.2,1450,249.2,1450,245,1,1
Auto sanding - 1,5,12/20/2021 13:09,794945,SP400-IR-4,247,1450,247,1450,245,1,1
Auto sanding - 1,1,12/20/2021 13:10,794945,SP400-IR-4,248.6,1450,248.6,1450,245,1,1
Auto sanding - 1,2,12/20/2021 13:10,794945,SP400-IR-4,248.4,1450,248.4,1450,245,1,1
Auto sanding - 1,3,12/20/2021 13:10,794945,SP400-IR-4,249.9,1450,249.9,1450,245,1,1
